t_mid,goodput_bps,destination,cc_algorithm,run_id
0.2500392198562622,787319040.0,185.93.1.65:5201,cubic,0
0.7500714063644409,800509824.0,185.93.1.65:5201,cubic,0
1.250100016593933,855667584.0,185.93.1.65:5201,cubic,0
1.7501088380813599,890009856.0,185.93.1.65:5201,cubic,0
2.250083088874817,922404096.0,185.93.1.65:5201,cubic,0
2.750074028968811,853413120.0,185.93.1.65:5201,cubic,0
3.2500799894332886,823514112.0,185.93.1.65:5201,cubic,0
3.750097155570984,661893120.0,185.93.1.65:5201,cubic,0
4.25010359287262,702057600.0,185.93.1.65:5201,cubic,0
4.750102519989014,779935104.0,185.93.1.65:5201,cubic,0
5.250097990036011,855361152.0,185.93.1.65:5201,cubic,0
5.7500951290130615,790616448.0,185.93.1.65:5201,cubic,0
6.250085711479187,735174144.0,185.93.1.65:5201,cubic,0
6.750092506408691,732109824.0,185.93.1.65:5201,cubic,0
7.250098347663879,743863680.0,185.93.1.65:5201,cubic,0
7.750119209289551,763803648.0,185.93.1.65:5201,cubic,0
8.250119805335999,784903680.0,185.93.1.65:5201,cubic,0
8.750111103057861,727097472.0,185.93.1.65:5201,cubic,0
9.250094890594482,774550656.0,185.93.1.65:5201,cubic,0
9.750030755996704,739748736.0,185.93.1.65:5201,cubic,0
0.25005924701690674,849054336.0,185.93.1.65:5201,cubic,1
0.7500978708267212,912466944.0,185.93.1.65:5201,cubic,1
1.2500879764556885,918420480.0,185.93.1.65:5201,cubic,1
1.7501013278961182,922710528.0,185.93.1.65:5201,cubic,1
2.2501038312911987,915575040.0,185.93.1.65:5201,cubic,1
2.750082850456238,847766016.0,185.93.1.65:5201,cubic,1
3.2500728368759155,906535296.0,185.93.1.65:5201,cubic,1
3.750072717666626,829992960.0,185.93.1.65:5201,cubic,1
4.250061988830566,777264768.0,185.93.1.65:5201,cubic,1
4.750063180923462,851377536.0,185.93.1.65:5201,cubic,1
5.250073194503784,894715776.0,185.93.1.65:5201,cubic,1
5.750072121620178,912401280.0,185.93.1.65:5201,cubic,1
6.2500821352005005,859279104.0,185.93.1.65:5201,cubic,1
6.750082612037659,576048384.0,185.93.1.65:5201,cubic,1
7.2500845193862915,650817792.0,185.93.1.65:5201,cubic,1
7.750094175338745,724120704.0,185.93.1.65:5201,cubic,1
8.25009536743164,795015936.0,185.93.1.65:5201,cubic,1
8.750106930732727,871996032.0,185.93.1.65:5201,cubic,1
9.250105619430542,904718592.0,185.93.1.65:5201,cubic,1
9.75005292892456,911657088.0,185.93.1.65:5201,cubic,1
0.25003182888031006,862152832.0,185.93.1.65:5201,cubic,2
0.750059962272644,910234368.0,185.93.1.65:5201,cubic,2
1.2500560283660889,913167360.0,185.93.1.65:5201,cubic,2
1.7500544786453247,914940288.0,185.93.1.65:5201,cubic,2
2.250059127807617,918179712.0,185.93.1.65:5201,cubic,2
2.7500593662261963,890998912.0,185.93.1.65:5201,cubic,2
3.2500548362731934,911241216.0,185.93.1.65:5201,cubic,2
3.750059127807617,908417664.0,185.93.1.65:5201,cubic,2
4.250063061714172,905265792.0,185.93.1.65:5201,cubic,2
4.75006377696991,908089344.0,185.93.1.65:5201,cubic,2
5.2500646114349365,903821184.0,185.93.1.65:5201,cubic,2
5.750064015388489,904149504.0,185.93.1.65:5201,cubic,2
6.250073432922363,906338304.0,185.93.1.65:5201,cubic,2
6.750107645988464,870598144.0,185.93.1.65:5201,cubic,2
7.250097155570984,895985280.0,185.93.1.65:5201,cubic,2
7.7500633001327515,901632384.0,185.93.1.65:5201,cubic,2
8.250062346458435,900647424.0,185.93.1.65:5201,cubic,2
8.750059366226196,908395776.0,185.93.1.65:5201,cubic,2
9.250056862831116,901150848.0,185.93.1.65:5201,cubic,2
