IP Address,Min RTT (ms),Avg RTT (ms),Max RTT (ms),Status
scaleway.testdebit.info,96.15,99.62,108.76,Success
sgp.proof.ovh.net,219.84,261.10,317.75,Success
spd-desrv.hostkey.com,108.17,195.46,292.87,Success
spd-fisrv.hostkey.com,181.05,235.32,379.63,Success
spd-icsrv.hostkey.com,198.39,239.64,276.80,Success
spd-uswb.hostkey.com,25.84,26.01,26.12,Success
speed.mymanga.pro,252.41,278.33,297.92,Success
speed.netfiber.net.il,N/A,N/A,N/A,Failed/Skipped
speed.rimon.net.il,N/A,N/A,N/A,Failed/Skipped
speed1.fiberby.dk,121.57,154.69,188.24,Success
speed2.fiberby.dk,102.73,150.79,226.92,Success
speedtest-ams-nl.as215248.net,153.16,208.45,249.87,Success
speedtest.ams1.nl.leaseweb.net,105.07,134.74,203.75,Success
speedtest.ams1.novogara.net,96.20,97.45,99.93,Success
speedtest.ams2.nl.leaseweb.net,96.86,98.32,99.96,Success
speedtest.awbb.net,50.51,51.25,51.73,Success
speedtest.chi11.us.leaseweb.net,10.32,10.67,10.83,Success
speedtest.dal13.us.leaseweb.net,24.04,25.07,25.61,Success
speedtest.fra1.de.leaseweb.net,137.63,197.71,310.03,Success
speedtest.hiper.dk,123.23,191.65,286.19,Success
speedtest.hkg12.hk.leaseweb.net,253.59,315.72,357.56,Success
speedtest.init7.net,108.65,151.44,203.96,Success
speedtest.ip-projects.de,116.55,150.56,184.10,Success
speedtest.iway.ch,133.74,167.61,202.47,Success
speedtest.kamel.network,109.33,152.50,211.96,Success
speedtest.keff.org,N/A,N/A,N/A,Failed/Skipped
speedtest.lagoon.nc,220.32,275.70,354.75,Success
speedtest.lax12.us.leaseweb.net,54.36,54.81,55.25,Success
speedtest.lon1.uk.leaseweb.net,98.52,99.17,99.72,Success
speedtest.lon12.uk.leaseweb.net,92.73,93.02,93.35,Success
speedtest.lu.buyvm.net,149.99,184.18,218.04,Success
speedtest.masnet.ec,118.32,167.19,217.40,Success
speedtest.mia11.us.leaseweb.net,39.70,42.07,47.39,Success
